"STATION","DATE","AWND","RHAV","TAVG","CYCLEDAY","LAW","INVENTORY"
"USW00013722","2006-01",3.3,67,8.78,4.93101790331949,329.746614631562,82.546724047241
"USW00013722","2006-02",3.1,55,6.39,6.80197297531456,270.945154217753,82.3908516476779
"USW00013722","2006-03",3.3,54,10.77,5.89618870050423,287.429663095942,84.1073433741978
"USW00013722","2006-04",3.2,60,17.07,2.64517372981834,100.856658366726,79.6997826556026
"USW00013722","2006-05",2.6,65,18.63,8.02111786736182,189.674354876946,72.3220792126584
"USW00013722","2006-06",2.5,72,23.64,2.41396998206887,341.860440039376,70.5438547007105
"USW00013722","2006-07",2.6,71,26.52,8.79344741202013,255.177541564693,79.973394876138
"USW00013722","2006-08",2.6,71,26.92,5.77739761682573,265.490744923801,68.1840286180778
"USW00013722","2006-09",2.3,75,20.94,10.0938287925073,203.321714964816,65.046498971434
"USW00013722","2006-10",2.3,72,14.87,8.84017662463842,165.706077627531,84.0965224572749
"USW00013722","2006-11",2.3,71,11.66,5.45551150479231,226.351929117666,99.3510398488579
"USW00013722","2006-12",2,65,8.77,3.14714453086607,349.599465676702,47.0560178572094
"USW00013722","2007-01",2.9,63,7.35,8.78348207270159,288.397609295218,85.1217585476093
"USW00013722","2007-02",2.8,50,4.89,5.24606974462885,197.736653932853,64.3012953662699
"USW00013722","2007-03",3.1,55,13.25,5.10150565217243,220.327286575538,83.4830899305237
"USW00013722","2007-04",3.1,52,15.51,4.06752118255258,383.33907651859,82.7708128078652
"USW00013722","2007-05",3.2,62,20.09,7.14138954618047,271.535736967662,75.6738048128872
"USW00013722","2007-06",2.6,68,24.72,5.98514457708218,279.563100606337,65.3201904004745
"USW00013722","2007-07",2.6,65,25.87,7.22508134030457,179.245279876491,103.368977129922
"USW00013722","2007-08",2.7,62,28.96,3.66457900797362,180.049641927265,88.3174850257365
"USW00013722","2007-09",2.7,61,23.91,4.99324448093591,200.807069396079,97.7400574251755
"USW00013722","2007-10",2.2,70,19.67,2.93326462215163,200.298149286854,71.2736410003581
"USW00013722","2007-11",2.4,61,10.4,5.59121243298776,148.397157614065,59.6153593695084
"USW00013722","2007-12",2.8,67,9.13,4.43586555244877,76.5744922263711,55.0680532726628
"USW00013722","2008-01",2.9,59,5.31,4.68537390895964,466.087051217421,42.9895282604285
"USW00013722","2008-02",3.5,60,8.76,4.20981287549481,23.212922626428,93.9849754911394
"USW00013722","2008-03",3.9,56,11.84,2.58944510346138,125.92766214136,78.3736622942415
"USW00013722","2008-04",3.3,67,15.74,11.683131864452,244.094168232806,74.7004247966223
"USW00013722","2008-05",3.5,66,19.17,-0.94437829673716,178.919360417438,112.377319314723
"USW00013722","2008-06",2.8,60,27.03,2.76097142726015,108.883285638826,82.7482103982759
"USW00013722","2008-07",2.4,70,26.11,3.60751229749347,390.832233771741,72.3867393380342
"USW00013722","2008-08",2.1,68,25.81,4.68605723223932,184.889326644555,74.7325734817421
"USW00013722","2008-09",2.7,76,22.57,4.56890063382904,302.22094265273,98.0139947096243
"USW00013722","2008-10",2.2,70,15.16,4.00679094638704,220.314038468822,109.037717376446
"USW00013722","2008-11",2.5,64,9.65,0.42897126716715,313.599583726193,86.250563645148
"USW00013722","2008-12",2.9,68,8.56,6.26152651759195,359.496336360614,83.8355656857373
"USW00013722","2009-01",2.7,61,4.45,4.51179435644999,340.228711718469,87.7204100289936
"USW00013722","2009-02",3.6,51,7.78,4.29884712641403,255.04621313895,87.0399491316124
"USW00013722","2009-03",3.3,62,11.2,7.58243436197622,427.796689814867,34.0282453864223
"USW00013722","2009-04",3.6,56,16.88,11.7149583261123,155.90584246137,77.8444830965513
"USW00013722","2009-05",3.3,68,21.85,10.7728770100972,241.168512571961,70.9539350920684
"USW00013722","2009-06",2.5,65,25.74,6.27455298800245,186.512914466223,63.6806325130891
"USW00013722","2009-07",2.6,64,26.41,2.42626805588124,300.019228793648,95.4433203157099
"USW00013722","2009-08",2.2,72,26.83,4.38183849892846,285.989122588255,88.6957532543636
"USW00013722","2009-09",2.2,72,21.57,5.47643728820017,350.090526372094,92.7895471933599
"USW00013722","2009-10",2.4,74,15.7,4.7066749962429,343.013610862881,82.6446450000955
"USW00013722","2009-11",2.4,75,11.76,7.06217553474928,74.2763132905441,60.9792781377845
"USW00013722","2009-12",2.2,68,4.73,3.23521315236592,282.321883195081,56.8099986333507
"USW00013722","2010-01",2.6,59,3.24,4.23993136459633,195.289626207965,62.0108094168843
"USW00013722","2010-02",2.5,60,3.09,3.21496934133575,269.960447020458,75.6517419030989
"USW00013722","2010-03",2.7,58,11.11,5.88539346680647,167.619165086201,33.1842747045772
"USW00013722","2010-04",2.8,56,17.21,2.12165920391003,256.398975622203,55.2102270154968
